Team,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,Round 10,Round 11,Round 12,Round 13,Round 14,Round 15,Round 16,Round 17,Round 18,Round 19
Athlético Paranaense,a,h,a,h,h,a,h,a,h,h,a,h,a,h,a,h,a,h,a
Atlético Goianiense,a,h,h,a,a,h,a,h,a,a,h,h,a,a,h,a,h,h,a
Atlético Mineiro,a,h,h,a,a,h,h,a,a,h,a,h,h,a,h,h,a,h,a
Bahia,a,h,h,a,a,h,h,a,h,h,a,a,h,h,a,a,h,h,a
Botafogo,h,a,a,h,a,h,h,a,a,h,h,a,h,h,a,a,h,a,h
Ceará,a,h,a,h,h,a,h,h,a,h,a,h,a,a,h,h,a,h,a
Corinthians,h,a,a,h,h,a,a,h,h,a,h,a,a,h,a,a,h,a,h
Coritiba,h,a,h,a,a,h,a,h,a,a,h,a,h,a,h,a,h,a,h
Flamengo,h,a,a,h,h,a,a,h,h,a,h,a,h,h,a,h,a,a,h
Fluminense,a,h,h,a,a,h,h,a,a,h,a,h,a,a,h,a,h,h,a
Fortaleza,h,a,h,a,a,h,a,a,h,a,h,a,h,h,a,a,h,a,h
Goiás,h,a,a,h,h,a,h,a,h,h,a,a,h,h,a,h,a,a,h
Grêmio,h,a,h,a,a,h,h,a,a,h,h,a,h,h,a,h,a,a,h
Internacional,a,h,a,h,h,a,a,h,h,a,a,h,a,a,h,a,h,h,a
Palmeiras,h,a,h,a,h,a,h,a,a,h,a,h,h,a,h,h,a,a,h
Red Bull Bragantino,a,h,a,h,h,a,a,h,a,a,h,a,h,h,a,a,h,h,a
Santos,h,a,h,a,a,h,h,a,h,h,a,h,a,a,h,h,a,a,h
São Paulo,a,h,a,h,a,h,a,h,h,a,h,a,a,h,a,a,h,h,a
Sport,h,a,a,h,h,a,a,h,a,a,h,h,a,a,h,h,a,a,h
Vasco da Gama,a,h,h,a,h,a,a,h,h,a,a,h,a,a,h,h,a,h,a
